,10th percentile limit,20th percentile limit,40th percentile limit,50th (median),60th percentile limit,80th percentile limit,90th percentile limit,95th percentile limit,Year
0,14219,24638,47110,61372,77552,126855,179077,237034,2017
1,13901,24518,46581,60309,76479,123621,174203,230095,2016
2,13719,23591,45020,58476,74498,121060,167804,221900,2015
3,12724,22213,42688,55613,70699,116355,163221,214100,2014
4,12858,22134,43251,56479,70830,116186,163821,216208,2013
6,13088,22033,42533,54569,69079,111344,156166,204466,2012
7,13107,22132,42075,54673,68196,110956,156864,203165,2011
8,13364,22534,42815,55520,69293,112704,156362,203355,2010
9,13881,23425,44151,57010,70781,114530,157631,206156,2009
10,13880,23639,44512,57412,71589,114406,157845,205438,2008
11,14414,24048,46340,59534,73480,118516,161182,209773,2007
12,14625,24418,46038,58746,73126,118260,162097,212081,2006
13,14203,24131,45298,58291,72552,115390,158656,208874,2005
14,14188,24048,45109,57674,71849,114482,157235,204439,2004
15,14077,24027,45426,57875,72752,116058,157921,205912,2003
16,14511,24480,45606,57947,72640,114799,155921,204961,2002
17,14831,24941,46237,58609,73560,115892,157707,208882,2001
18,15105,25580,47106,59938,74475,116716,159873,207293,2000
19,15269,25291,47110,60062,74361,116937,159067,209575,1999
20,14621,24292,45834,58612,72859,113048,152690,199264,1998
21,14078,23527,44609,56533,70275,109232,149200,193333,1997
22,13906,23049,43326,55394,68682,106154,143666,186571,1996
23,13902,23073,43125,54600,67300,104349,140521,181061,1995
24,13173,22031,41351,52942,65800,103116,139285,180206,1994
25,12875,21722,41342,52334,64985,101013,136930,175289,1993
26,12881,21639,41458,52615,65090,99622,133185,170058,1992
27,13064,22162,42243,53025,65248,99902,133563,169675,1991
28,13353,22802,43163,54621,66034,100702,135170,172835,1990
29,13782,23153,44024,55329,67664,102807,137727,175619,1989
30,13113,22739,42952,54390,66938,101074,133852,171090,1988
31,12910,22356,42434,53945,66239,100109,132071,167517,1987
32,12808,21940,41967,53309,65132,98455,129219,165096,1986
33,12847,21658,40749,51455,63126,94941,124526,156871,1985
34,12838,21408,40066,50511,61728,93247,122654,154360,1984
35,12339,21005,39057,49021,59945,90593,118569,149047,1983
36,12387,20559,39101,49368,59742,89087,117485,147058,1982
37,12613,20824,38929,49502,60210,89017,116280,143258,1981
38,12781,21240,39832,50301,61066,89412,116176,143892,1980
39,12965,22108,41059,51990,63170,91592,118561,148001,1979
40,13206,21847,41308,52089,62501,90900,117567,145420,1978
41,12940,21187,39906,50148,60827,88680,113103,140409,1977
42,12782,21232,39557,49833,60258,86695,111168,137486,1976
43,12712,20771,38983,49020,58907,84580,108425,133470,1975
44,13069,21849,40528,50338,59886,86914,112072,137567,1974
45,12981,21744,41812,51984,61865,89073,114976,143164,1973
46,12396,21282,40987,50955,60577,86703,111400,139539,1972
47,11626,20567,39207,48862,57695,82267,105540,130642,1971
48,11446,20835,39913,49342,58054,82827,105504,130926,1970
49,11713,21192,40664,49728,58809,82396,104548,129225,1969
50,11418,20576,39010,47946,55915,78565,99074,122913,1968
51,10489,19305,37644,45965,53429,76190,96781,122264,1967
