Year,"Births  (1,000)","Deaths (1,000)","Infant Deaths (1,000)","Marriages (1,000)","Divorces (1,000)",Births Rate Per 1000 ,Death Rate per 1000,Infant Death Rate Per 1000,Marriage per 1000,Divorce per 1000
1960,"4,258","1,712",111,"1,523",393,23.7,9.5,26.0,8.5,2.2
1965,"3,760","1,828",93,"1,800",479,19.4,9.4,24.7,9.3,2.5
1970,"3,731","1,921",75,"2,159",708,18.4,9.5,20.0,10.6,3.5
1971,"3,556","1,928",68,"2,190",773,17.2,9.3,19.1,10.6,3.7
1972,"3,258","1,964",60,"2,282",845,15.6,9.4,18.5,10.9,4.0
1973,"3,137","1,973",56,"2,284",915,14.8,9.3,17.7,10.8,4.3
1974,"3,160","1,934",53,"2,230",977,14.8,9.1,16.7,10.5,4.6
1975,"3,144","1,893",51,"2,153","1,036",14.6,8.8,16.1,10.0,4.8
1976,"3,168","1,909",48,"2,155","1,083",14.6,8.8,15.2,9.9,5.0
1977,"3,327","1,900",47,"2,178","1,091",15.1,8.6,14.1,9.9,5.0
1978,"3,333","1,928",46,"2,282","1,130",15.0,8.7,13.8,10.3,5.1
1979,"3,494","1,914",46,"2,331","1,181",15.6,8.5,13.1,10.4,5.3
1980,"3,612","1,990",46,"2,390","1,189",15.9,8.8,12.6,10.6,5.2
1981,"3,629","1,978",43,"2,422","1,213",15.8,8.6,11.9,10.6,5.3
1982,"3,681","1,975",42,"2,456","1,170",15.9,8.5,11.5,10.6,5.1
1983,"3,639","2,019",41,"2,446","1,158",15.6,8.6,11.2,10.5,5.0
1984,"3,669","2,039",40,"2,477","1,169",15.6,8.6,10.8,10.5,5.0
1985,"3,761","2,086",40,"2,413","1,190",15.8,8.8,10.6,10.1,5.0
1986,"3,757","2,105",39,"2,407","1,178",15.6,8.8,10.4,10.0,4.9
1987,"3,809","2,123",38,"2,403","1,166",15.7,8.8,10.1,9.9,4.8
1988,"3,910","2,168",39,"2,396","1,167",16.0,8.9,10.0,9.8,4.8
1989,"4,041","2,150",40,"2,403","1,157",16.4,8.7,9.8,9.7,4.7
1990,"4,158","2,148",38,"2,443","1,182",16.7,8.6,9.2,9.8,4.7
1991,"4,111","2,170",37,"2,371","1,187",16.2,8.6,8.9,9.4,4.7
1992,"4,065","2,176",35,"2,362","1,215",15.8,8.5,8.5,9.3,4.8
1993,"4,000","2,269",33,"2,334","1,187",15.4,8.8,8.4,9.0,4.6
1994,"3,953","2,279",31,"2,362","1,191",15.0,8.8,8.0,9.1,4.6
1995,"3,900","2,312",30,"2,336","1,169",14.6,8.7,7.6,8.9,4.4
1996,"3,891","2,315",28,"2,344","1,150",14.4,8.6,7.3,8.8,4.3
1997,"3,881","2,314",28,"2,384","1,163",14.2,8.5,7.2,8.9,4.3
1998,"3,942","2,337",28,"2,244","\4 1,135",14.3,8.5,7.2,8.4,\4 4.2
1999,"3,959","2,391",28,"2,358", (NA),14.2,8.6,7.1,8.6,\4 4.1
2000,"4,059","2,403",28,"2,315",\4 944,14.4,8.5,6.9,8.3,\4 4.1
2001,"4,026","2,416",28,"2,326",\4 940,14.1,8.5,6.8,8.2,\4 4.0
2002,"4,022","2,443",28,"2,290",\5 955,13.9,8.5,7.0,7.8,\5 3.9
2003,"4,090","2,448",28,"2,245",\6 927,14.1,8.4,6.9,7.7,\6 3.8
2004,"4,112","2,398",28,"2,279",\7 879,14.0,8.2,6.8,7.8,\7 3.7
2005,"4,138","2,448",28,"2,249",\8 847,14.0,8.3,6.9,7.6,\8 3.6
2006,"4,266","2,426",29,"\9 2,193",\8 872,14.2,8.1,6.7,\9 7.4,\8 3.7
2007,"4,316","2,424",29,"2,197",\8 856,14.3,8.0,6.8,7.3,\8 3.6
2008,"4,248","2,473",28,"2,157",\8 844,14.0,8.1,6.6,7.1,\8 3.5
 ,,,,,,,,,,
